Name,Gender,Age,City,Marks,Grade,Passed
Student_0,Male,24.0,Mardan,99,A,Yes
Student_1,Female,,,98,D,Yes
Student_2,Male,21.0,Swat,45,A,No
Student_3,Male,21.0,Kohat,55,D,Yes
Student_4,Male,22.0,Swat,68,D,Yes
Student_5,,24.0,Swat,42,C,No
Student_6,Male,24.0,Swat,59,C,Yes
Student_7,Male,28.0,Kohat,99,B,Yes
Student_8,Male,21.0,Swat,98,C,Yes
Student_9,Female,,Mardan,75,B,Yes
Student_10,Male,,Kohat,58,B,Yes
Student_11,Male,20.0,Mardan,65,B,Yes
Student_12,Male,23.0,Kohat,42,B,No
Student_13,,29.0,Swat,58,B,Yes
Student_14,,19.0,Mardan,59,A,Yes
Student_15,Male,27.0,Kohat,71,C,Yes
Student_16,Female,26.0,Peshawar,46,B,No
Student_17,Female,,Swat,91,D,Yes
Student_18,Female,23.0,Kohat,80,C,Yes
Student_19,Male,29.0,Peshawar,72,C,Yes
Student_20,Female,29.0,Kohat,79,B,Yes
Student_21,,29.0,Peshawar,78,A,Yes
Student_22,Female,29.0,Swat,57,B,Yes
Student_23,Female,21.0,Mardan,79,A,Yes
Student_24,Female,28.0,Peshawar,40,D,No
Student_25,Female,27.0,Kohat,50,C,Yes
Student_26,Female,,Swat,67,D,Yes
Student_27,,29.0,Peshawar,96,A,Yes
Student_28,Female,,Kohat,64,A,Yes
Student_29,Female,24.0,,89,D,Yes
Student_30,Male,18.0,Kohat,62,A,Yes
Student_31,Male,18.0,Peshawar,70,D,Yes
Student_32,Female,26.0,Peshawar,69,C,Yes
Student_33,Female,28.0,,81,D,Yes
Student_34,Female,26.0,Mardan,74,C,Yes
Student_35,Male,21.0,Peshawar,46,D,No
Student_36,Female,26.0,Peshawar,99,A,Yes
Student_37,Male,,Peshawar,55,D,Yes
Student_38,Male,24.0,Mardan,65,A,Yes
Student_39,Male,23.0,Peshawar,87,D,Yes
Student_40,Male,25.0,Kohat,96,D,Yes
Student_41,Male,28.0,Peshawar,91,B,Yes
Student_42,Female,,Kohat,99,A,Yes
Student_43,Female,22.0,Kohat,88,B,Yes
Student_44,Female,18.0,Kohat,41,A,No
Student_45,Female,20.0,Mardan,40,B,No
Student_46,,27.0,Mardan,87,C,Yes
Student_47,Male,29.0,,51,D,Yes
Student_48,,25.0,Peshawar,44,A,No
Student_49,Female,28.0,Kohat,76,A,Yes
Student_50,Male,23.0,Mardan,71,D,Yes
Student_51,Female,25.0,Mardan,98,A,Yes
Student_52,Male,26.0,Peshawar,94,A,Yes
Student_53,Female,21.0,Mardan,48,B,No
Student_54,Male,18.0,Peshawar,80,A,Yes
Student_55,,18.0,Swat,74,C,Yes
Student_56,Female,27.0,Mardan,58,C,Yes
Student_57,Male,21.0,Swat,87,D,Yes
Student_58,Male,,Peshawar,55,A,Yes
Student_59,Male,24.0,Kohat,42,D,No
Student_60,Male,,,59,C,Yes
Student_61,,20.0,Peshawar,63,A,Yes
Student_62,Male,18.0,Kohat,93,A,Yes
Student_63,,22.0,Kohat,95,D,Yes
Student_64,Male,18.0,Swat,72,C,Yes
Student_65,Female,25.0,Peshawar,63,A,Yes
Student_66,Female,,,91,D,Yes
Student_67,Male,,Mardan,50,C,Yes
Student_68,Female,18.0,,88,D,Yes
Student_69,Female,19.0,Swat,47,B,No
Student_70,,19.0,Kohat,75,A,Yes
Student_71,,,Peshawar,77,B,Yes
Student_72,,23.0,,79,C,Yes
Student_73,Female,24.0,Kohat,59,B,Yes
Student_74,Male,22.0,Kohat,74,B,Yes
Student_75,Female,18.0,Swat,87,C,Yes
Student_76,Female,18.0,Mardan,64,D,Yes
Student_77,Female,20.0,Mardan,74,B,Yes
Student_78,Male,19.0,Peshawar,64,D,Yes
Student_79,Female,22.0,Mardan,68,B,Yes
Student_80,Male,29.0,Peshawar,57,D,Yes
Student_81,Female,27.0,,85,C,Yes
Student_82,Male,23.0,Swat,57,B,Yes
Student_83,Female,24.0,,41,C,No
Student_84,Male,21.0,Peshawar,93,B,Yes
Student_85,Male,24.0,,74,C,Yes
Student_86,Female,28.0,Swat,55,C,Yes
Student_87,Male,25.0,,80,B,Yes
Student_88,Female,28.0,Mardan,75,B,Yes
Student_89,Female,18.0,,72,B,Yes
Student_90,Female,23.0,Mardan,43,A,No
Student_91,Female,,Mardan,72,D,Yes
Student_92,,22.0,Peshawar,53,A,Yes
Student_93,Female,21.0,Mardan,60,A,Yes
Student_94,Female,19.0,Mardan,87,C,Yes
Student_95,Female,23.0,Swat,59,B,Yes
Student_96,,23.0,Swat,95,D,Yes
Student_97,Female,,,47,C,No
Student_98,Female,18.0,Peshawar,46,A,No
Student_99,Male,26.0,,42,B,No
